"id_str","dataset","country","lang","lang_norm_prob","na","na_conf","sentiment","sentiment_conf","sympathy","sympathy_conf"
"665316433887236096","FR_arab","Egypt_en","ar",0.999999999713,"",NA,0,0.5161,1,1
"665373658043555840","FR_arab","Egypt_en","ar",1,"",NA,0,1,1,0.6716
"665418415990022144","FR_arab","Egypt_en","ar",1,"",NA,-1,1,1,1
"665423862688047104","FR_arab","Egypt_en","ar",1,"",NA,0,0.6821,-1,0.6821
"665319061727899648","FR_arab","Egypt_en","ar",0.999999999992,"",NA,1,1,1,1
"665308774614233088","FR_arab","Egypt_en","ar",0.99999999029,"",NA,1,1,1,1
"665502036696440832","FR_arab","Egypt_en","ar",0.999999100151,"",NA,1,1,1,1
"665441020239339520","FR_arab","Egypt_en","ar",1,"",NA,-1,1,1,1
"665293326283837440","FR_arab","Egypt_en","ar",1,"",NA,-1,1,1,1
"665310920759885824","FR_arab","Egypt_en","ar",0.999996915277,"",NA,1,1,1,1
"665327666929647616","FR_arab","Egypt_en","ar",1,"",NA,0,1,-1,1
"665324285385244672","FR_arab","Egypt_na","ar",1,"",NA,-1,1,1,0.6547
"665494710279106560","FR_arab","Egypt_en","ar",0.99999999995,"",NA,-1,1,1,1
"665314343286800384","FR_arab","Egypt_en","ar",1,"",NA,-1,0.634,1,1
"665340568931823616","FR_arab","Egypt_en","ar",1,"",NA,-1,0.6393,1,1
"665352964391829504","FR_arab","Egypt_en","ar",0.999627419852,"",NA,-1,0.6358,1,0.6358
"665436920344915968","FR_arab","Egypt_en","ar",1,"",NA,-1,0.3587,-1,0.6413
"665311676749639680","FR_arab","Egypt_en","ar",1,"",NA,-1,1,1,0.534
"665372397197991936","FR_arab","Egypt_en","ar",1,"",NA,-1,0.6747,1,1
"665425544834637824","FR_arab","Egypt_en","ar",0.999999999076,"",NA,1,1,1,1
"665509238278631424","FR_arab","Egypt_en","ar",0.999999992466,"",NA,-1,1,1,1
"665346729462489088","FR_arab","Egypt_en","ar",1,"",NA,-1,0.6441,1,1
"665342396473868288","FR_arab","Egypt_en","ar",1,"",NA,-1,0.6497,-1,0.6561
"665368680700604416","FR_arab","Egypt_en","ar",1,"",NA,-1,1,1,1
"665547447721160704","FR_arab","Egypt_en","ar",1,"",NA,-1,1,-1,0.6393
"665292407341191168","FR_arab","Iraq_en","ar",1,"",NA,0,0.534,-1,0.534
"665374207874871296","FR_arab","Egypt_en","ar",0.999999999984,"",NA,1,0.6547,-1,1
"665578773753036800","FR_arab","Egypt_en","ar",1,"",NA,1,1,1,1
"665642902455001088","FR_arab","Lebanon_en","ar",0.999999999058,"",NA,-1,1,1,1
"665338480373972992","FR_arab","Egypt_en","ar",0.997904046298,"",NA,-1,0.6547,1,0.6547
"665313821368676352","FR_arab","Egypt_en","ar",1,"",NA,-1,0.6146,1,1
"665550668040638464","FR_arab","Lebanon_en","ar",1,"not_applicable",1,-1,1,1,1
"665322855177973760","FR_arab","Egypt_en","ar",1,"",NA,0,0.6388,1,0.6896
"665318432762556416","FR_arab","Egypt_en","ar",1,"",NA,0,0.6896,1,1
"665527020206628864","FR_arab","Egypt_na","ar",1,"",NA,-1,0.661,1,1
"665319962622435328","FR_arab","Egypt_en","ar",0.999997093229,"",NA,1,1,1,1
"665566260210593792","FR_arab","Egypt_en","ar",1,"",NA,-1,0.661,1,1
"665313730918539264","FR_arab","Egypt_en","ar",1,"",NA,0,0.534,-1,1
"665328423800205312","FR_arab","Egypt_en","ar",0.999987194016,"",NA,-1,0.6698,-1,0.6423
"665397235228803072","FR_arab","Egypt_en","ar",1,"",NA,0,0.6748,1,0.6829
"665511308863873024","FR_arab","Egypt_en","ar",0.999999749326,"",NA,1,1,1,1
"665325288834793472","FR_arab","Egypt_en","ar",1,"",NA,-1,1,-1,0.6482
"665327452835594240","FR_arab","Egypt_en","ar",0.99999999996,"",NA,-1,1,1,1
"665323934276022272","FR_arab","Egypt_na","ar",1,"",NA,-1,1,1,0.7033
"665511749643321344","FR_arab","Egypt_en","ar",0.996124320012,"",NA,1,1,1,1
"665502593381191680","FR_arab","Egypt_en","ar",1,"",NA,0,0.534,1,0.534
"665424631751450624","FR_arab","Egypt_en","ar",1,"",NA,-1,1,1,1
"665321954610683904","FR_arab","Egypt_na","ar",1,"",NA,-1,0.6878,1,0.6878
"665430194925236224","FR_arab","Egypt_en","ar",1,"",NA,-1,0.6878,1,1
"665554837556342784","FR_arab","Egypt_en","ar",1,"",NA,-1,0.6852,-1,0.6393
"665327577318338560","FR_arab","Egypt_en","ar",1,"",NA,1,0.6989,1,1
"665449005917282304","FR_arab","Egypt_en","ar",1,"",NA,1,0.6747,1,1
"665479707908022272","FR_arab","Egypt_en","ar",1,"",NA,-1,0.6878,1,1
"665351377540001792","FR_arab","Egypt_en","ar",0.99999999943,"",NA,-1,0.6497,-1,0.6561
"665290516548861952","FR_arab","Egypt_en","ar",1,"",NA,1,0.534,1,0.534
"665526520048390144","FR_arab","Egypt_en","ar",1,"",NA,-1,0.6237,1,0.6237
"665500215185711104","FR_arab","Egypt_na","ar",0.9999999605,"",NA,-1,1,1,1
"665503620755013632","FR_arab","Egypt_en","ar",0.999999974033,"",NA,-1,0.6896,1,0.6896
"665428546907713536","FR_arab","Egypt_en","ar",1,"",NA,1,1,1,1
"665307913376931840","FR_arab","Egypt_en","ar",1,"",NA,1,0.6597,1,1
"665313230550528000","FR_arab","Egypt_en","ar",0.999999933596,"",NA,-1,1,1,1
"665453814280003584","FR_arab","Egypt_en","ar",0.995592273475,"",NA,-1,1,1,0.6237
"665522997101502464","FR_arab","Egypt_en","ar",1,"",NA,-1,0.3655,-1,0.6345
"665307420034486272","FR_arab","Egypt_en","ar",0.999902886523,"",NA,-1,1,1,0.6547
"665498819413544960","FR_arab","Egypt_na","ar",0.996275644374,"",NA,-1,1,-1,1
